id,url,district,neighborhood,nearest_metro,price,surface,rooms,bathrooms,price_per_m2,dist_metro_m,dist_center_km,expected_price,expected_ppm2,residual_pct,residual_z,anomaly_score,mispricing_score,verdict,explanation
190037461,https://www.fotocasa.es/es/alquiler/vivienda/madrid-capital/calefaccion-parking-jardin-trastero-ascensor-piscina/190037461/d,Fuencarral - El Pardo,Peñagrande,Peñagrande,1800.0,134.0,3.0,2.0,13.432835820895523,549.435521734441,6.603306971600797,2957.735042735043,22.072649572649574,-0.39142621837569175,-2.320626095446567,0.48494633875656795,2.091057529498937,underpriced,"€1800/mo · 134 m² · 3BR/2BA in Peñagrande (Fuencarral - El Pardo). 549 m to Peñagrande, 6.6 km to centre. Comparable flats rent for ~€2958 (€22.1/m²); this listing is 39% below comps (-2.3σ). Anomaly score 0.48. Stands out on: lon low, has_air_conditioning low, log_surface high."
189820596,https://www.fotocasa.es/es/alquiler/vivienda/madrid-capital/calefaccion-terraza-trastero-amueblado-television/189820596/d,Usera,Almendrales,Almendrales,1300.0,90.0,3.0,1.0,14.444444444444445,438.82112318585826,3.3707805918714713,1778.231966053748,19.758132956152757,-0.2689367726950946,-1.9318827443714917,0.526709320771293,2.025294291037819,underpriced,"€1300/mo · 90 m² · 3BR/1BA in Almendrales (Usera). 439 m to Almendrales, 3.4 km to centre. Comparable flats rent for ~€1778 (€19.8/m²); this listing is 27% below comps (-1.9σ). Anomaly score 0.53. Stands out on: has_storage_room high, has_balcony high, has_terrace high."
183487821,https://www.fotocasa.es/es/alquiler/vivienda/madrid-capital/aire-acondicionado-calefaccion-terraza-ascensor-amueblado/183487821/d,Fuencarral - El Pardo,Pilar,Peñagrande,1200.0,75.0,2.0,1.0,16.0,199.98993355241,6.5724262959893665,1666.6666666666665,22.22222222222222,-0.2799999999999999,-2.724500379262835,0.41905824329772173,1.8219258161137164,underpriced,"€1200/mo · 75 m² · 2BR/1BA in Pilar (Fuencarral - El Pardo). 200 m to Peñagrande, 6.6 km to centre. Comparable flats rent for ~€1667 (€22.2/m²); this listing is 28% below comps (-2.7σ). Anomaly score 0.42. Stands out on: has_terrace high, has_equipped_kitchen low, rooms low."
189298628,https://www.fotocasa.es/es/alquiler/vivienda/madrid-capital/aire-acondicionado-calefaccion-amueblado/189298628/d,Fuencarral - El Pardo,Tres Olivos - Valverde,Fuencarral,1075.0,66.0,1.0,1.0,16.28787878787879,450.277576986826,8.55103645512401,1435.3885135135135,21.74831081081081,-0.25107384524860255,-2.243101596941369,0.44846559861611524,1.732627250953962,underpriced,"€1075/mo · 66 m² · 1BR/1BA in Tres Olivos - Valverde (Fuencarral - El Pardo). 450 m to Fuencarral, 8.6 km to centre. Comparable flats rent for ~€1435 (€21.7/m²); this listing is 25% below comps (-2.2σ). Anomaly score 0.45. Stands out on: is_exterior low, has_elevator low, floor_code low."
189785183,https://www.fotocasa.es/es/alquiler/vivienda/madrid-capital/aire-acondicionado-calefaccion-parking-ascensor-no-amueblado/189785183/d,Usera,San Fermín,San Fermín-Orcasur,1200.0,104.0,2.0,2.0,11.538461538461538,465.73720565998167,5.660385597575198,1896.2962962962963,18.233618233618234,-0.3671875,-1.9698739557781986,0.4702251593498547,1.6727386385929706,underpriced,"€1200/mo · 104 m² · 2BR/2BA in San Fermín (Usera). 466 m to San Fermín-Orcasur, 5.7 km to centre. Comparable flats rent for ~€1896 (€18.2/m²); this listing is 37% below comps (-2.0σ). Anomaly score 0.47. Stands out on: has_wardrobes low, rooms low, has_garage high."
190134026,https://www.fotocasa.es/es/alquiler/vivienda/madrid-capital/aire-acondicionado-calefaccion-terraza-ascensor/190134026/d,Tetuán,Almenara -Ventilla,Chamartín,1490.0,83.0,2.0,2.0,17.951807228915662,566.1733232835302,6.398357841756241,1870.727777777778,22.53888888888889,-0.20351853556696606,-1.9051574785066658,0.477360121422809,1.6657207236440248,underpriced,"€1490/mo · 83 m² · 2BR/2BA in Almenara -Ventilla (Tetuán). 566 m to Chamartín, 6.4 km to centre. Comparable flats rent for ~€1871 (€22.5/m²); this listing is 20% below comps (-1.9σ). Anomaly score 0.48. Stands out on: has_wardrobes low, has_balcony high, bathrooms high."
183192278,https://www.fotocasa.es/es/alquiler/vivienda/madrid-capital/amueblado-internet/183192278/d,Centro,Sol,Ópera,900.0,50.0,1.0,1.0,18.0,223.6113929416978,0.41903854703782156,1415.4761904761906,28.30952380952381,-0.36417157275021034,-2.0495052551113377,0.4477360333178696,1.5778156225338578,underpriced,"€900/mo · 50 m² · 1BR/1BA in Sol (Centro). 224 m to Ópera, 0.4 km to centre. Comparable flats rent for ~€1415 (€28.3/m²); this listing is 36% below comps (-2.0σ). Anomaly score 0.45. Stands out on: has_air_conditioning low, has_elevator low, noise_index low."
190142695,https://www.fotocasa.es/es/alquiler/vivienda/madrid-capital/ascensor-amueblado-se-aceptan-mascotas/190142695/d,Centro,Cortes - Huertas,Antón Martín,1249.0,100.0,3.0,1.0,12.49,287.735096669823,0.41094727333171266,2491.6666666666665,24.916666666666664,-0.49872909698996654,-1.7408087663045169,0.4808579064919623,1.543499934867012,underpriced,"€1249/mo · 100 m² · 3BR/1BA in Cortes - Huertas (Centro). 288 m to Antón Martín, 0.4 km to centre. Comparable flats rent for ~€2492 (€24.9/m²); this listing is 50% below comps (-1.7σ). Anomaly score 0.48. Stands out on: has_balcony high, log_surface high, has_air_conditioning low."
189936292,https://www.fotocasa.es/es/alquiler/vivienda/madrid-capital/aire-acondicionado-calefaccion-parking-terraza-ascensor-amueblado-se-aceptan-mascotas-piscina/189936292/d,San Blas,Rejas,Alameda de Osuna,1100.0,75.0,1.0,1.0,14.666666666666666,1825.8045472983347,11.290299147116743,1651.4648977335544,22.019531969780726,-0.33392468619246857,-1.5610039719742446,0.499861941560755,1.4886902384810372,underpriced,"€1100/mo · 75 m² · 1BR/1BA in Rejas (San Blas). 1826 m to Alameda de Osuna, 11.3 km to centre. Comparable flats rent for ~€1651 (€22.0/m²); this listing is 33% below comps (-1.6σ). Anomaly score 0.50. Stands out on: has_garage high, log_surface high, floor_code high."
186373891,https://www.fotocasa.es/es/alquiler/vivienda/madrid-capital/aire-acondicionado-calefaccion-ascensor-amueblado-parking/186373891/d,Fuencarral - El Pardo,Pilar,Peñagrande,1200.0,70.0,2.0,1.0,17.142857142857142,191.82447347591284,6.828368450688285,1549.8366013071893,22.14052287581699,-0.22572482867685809,-1.8991373346928198,0.43624122909261864,1.3850699713096286,underpriced,"€1200/mo · 70 m² · 2BR/1BA in Pilar (Fuencarral - El Pardo). 192 m to Peñagrande, 6.8 km to centre. Comparable flats rent for ~€1550 (€22.1/m²); this listing is 23% below comps (-1.9σ). Anomaly score 0.44. Stands out on: conservation_code high, lon low, has_equipped_kitchen low."
190144267,https://www.fotocasa.es/es/alquiler/vivienda/madrid-capital/aire-acondicionado-terraza-ascensor-amueblado/190144267/d,Usera,Almendrales,Almendrales,950.0,63.0,2.0,1.0,15.079365079365079,193.7288397911643,3.8735842664369096,1327.8461538461538,21.076923076923077,-0.2845556714169853,-1.530331547838866,0.47314962083689377,1.3152792616266666,underpriced,"€950/mo · 63 m² · 2BR/1BA in Almendrales (Usera). 194 m to Almendrales, 3.9 km to centre. Comparable flats rent for ~€1328 (€21.1/m²); this listing is 28% below comps (-1.5σ). Anomaly score 0.47. Stands out on: floor_code low, has_terrace high, is_exterior low."
189893706,https://www.fotocasa.es/es/alquiler/vivienda/madrid-capital/aire-acondicionado-calefaccion-jardin-ascensor-piscina/189893706/d,Usera,Almendrales,Almendrales,1760.0,140.0,3.0,2.0,12.571428571428571,259.7729224143728,3.924650377501973,2599.4877856579983,18.56776989755713,-0.3229435392194013,-1.5344710320107084,0.4670994032564613,1.2860972644183477,underpriced,"€1760/mo · 140 m² · 3BR/2BA in Almendrales (Usera). 260 m to Almendrales, 3.9 km to centre. Comparable flats rent for ~€2599 (€18.6/m²); this listing is 32% below comps (-1.5σ). Anomaly score 0.47. Stands out on: has_pool high, log_surface high, has_garage low."
